2018-10-25 01:18:41	lose:	$1
2018-10-25 01:18:53	win:	$1
2018-10-25 01:18:55	lose:	$1
2018-10-25 01:19:10	lose:	$1
2018-10-25 01:19:32	lose:	$1
2018-10-25 01:19:40	lose:	$1
2018-10-25 01:38:32	lose:	$1
2018-10-25 01:38:39	win:	$2
2018-10-25 01:38:46	lose:	$1
2018-10-25 01:38:55	lose:	$1
2018-10-25 01:39:01	lose:	$1
2018-10-25 01:39:07	win:	$2
2018-10-25 01:39:12	lose:	$1
2018-10-25 01:39:15	win:	$1
2018-10-25 01:39:18	lose:	$1
2018-10-25 01:39:30	lose:	$1
2018-10-25 01:39:39	lose:	$1
2018-10-25 01:39:48	lose:	$1
2018-10-25 01:39:56	win:	$6
2018-10-25 01:40:06	lose:	$1
